💖丨港澳台,#genre#
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8?
凤凰资讯,https://playtv-live.ifeng.com/live/06OLEEWQKN4_tv2.m3u8
凤凰资讯,http://zb.8d8q.com/proxy/gangtai.php?tid=gt&id=3

凤凰中文,http://play-live.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰中文,http://playtv-live.ifeng.com/live/06OLEGEGM4G_tv1.m3u8

翡翠台,https://pull-l3-cny.douyincdn.com/live/1f41fa6570c0c2fe39fef0752f76de81.m3u8
翡翠台,https://cdn.hklive.tv/xxxx/81/index.m3u8
翡翠台,http://23.237.10.66:16106
翡翠台,http://120.84.96.55:808/hls/25/index.m3u8?blog.ntnas.top
翡翠台,http://qwas.eatuo.com:9901/tsfile/live/1013_1.m3u8
翡翠台，http://113.64.147.18:808/hls/67/index.m3u8
翡翠台,http://8.crtv1.ml/hstv/crtv.php?id=30&type=.m3u8
翡翠台,https://php.52sf.ga/@Curly_MouseIPTV-Potato.php?tid=1&id=1
翡翠台,P2p://ns1.hellotvvod.com:9906/61ab74d2000c56d914e7a7702f0c341f
翡翠台,P2p://ns1.hellotvvod.com:9906/d90b51f967934f94a321babdd5b1bfd0
翡翠台,http://jyjxy.7766.org:808/hls/36/index.m3u8
翡翠台,http://98.142.138.122:1639/zhiboyuandakaTV/tvbjade83675.m3u8
翡翠台,http://www.penis18.org/stream/9b9e3e360f9931984f246f81c429cf81
翡翠台,http://173.211.42.73:8278/jade_twn/playlist.m3u8?tid=MFAF3621176136211761&ct=19237&tsum=d11caa3f055194051ba8b93c6575dbd1
翡翠台,http://113.64.147.199:808/hls/67/index.m3u8 
翡翠台,http://113.64.147.207:808/hls/67/index.m3u8 
翡翠台,http://113.64.147.216:808/hls/67/index.m3u8
翡翠台,http://nsszds.f3322.net:808/hls/25/index.m3u8
翡翠台,http://radius.8866.org:800/hls/80/index.m3u8
翡翠台,http://120.84.96.69:808/hls/25/index.m3u8
翡翠台,https://epg.pm/stream/8f86e1be1703a257427ac05856c98c875cda0cacb1b9829829125cc00074efdd.ctv
翡翠台,http://118.31.113.130:82/gudou.php?id=1350_4500
翡翠台,http://zb.8d8q.com/proxy/gangtai.php?tid=gt&id=1
翡翠台,http://mzwh4455.qicp.vip:280/hls/35/index.m3u8
翡翠台,http://27.47.71.97:808/hls/36/index.m3u8

翡翠华丽,http://23.237.10.66:16410
翡翠华丽,http://www.penis18.org/stream/a816759db9983221435a3556a57131bf
翡翠华丽,https://pull-l3-cny.douyincdn.com/live/8f0f5b53f8ad921929fc9ac8771cbd82.m3u8

无线新闻,http://live.cooltv.top/tv/tvb.php?id=0
无线新闻,https://cdn.hklive.tv/xxxx/83/index.m3u8
无线新闻,http://zb.8d8q.com/proxy/gangtai.php?tid=gt&id=9
无线新闻,http://kkmix2.f3322.net:771/hls/ch2/s.m3u8
无线新闻,http://shazui.8866.org:800/hls/82/index.m3u8
无线新闻,http://radius.8866.org:800/hls/82/index.m3u8
无线新闻,http://9.zhxinda.xyz/newss.php?id=1
无线新闻,http://111.229.84.232/yulin/tvb.php?id=1
无线新闻,http://app.nettv.vip/hls/tvb.php?id=1
无线新闻,http://www.nettvpro.live/hls/tvb.php?id=1
无线新闻,http://23.237.10.66:16110
无线新闻,https://p2.weizan.cn/1646497941/673946820532880688/live.m3u8
无线新闻,http://link.sczhgx.com:59845/hls/82/index.m3u8
无线新闻,http://120.132.122.244:59845/hls/82/index.m3u8
无线新闻,https://php.52sf.ga/@Curly_MouseIPTV-Potato.php?tid=1&id=20
无线新闻,http://98.142.138.122:1632/zhiboyuandakaTV/ViuTv21367.m3u8
无线新闻,http://www.penis18.org/stream/e63eb1fc4537dbe20054353418377a63
无线新闻,http://173.211.42.73:8278/inews_twn/playlist.m3u8?tid=MF0F5425225154252251&ct=19237&tsum=b62246f95bb1178276113e0582ac1173


无线财经资讯台,http://zb.8d8q.com/proxy/gangtai.php?tid=gt&id=10
无线财经资讯台,http://120.84.96.62:808/hls/86/index.m3u8
无线财经资讯台,http://9.zhxinda.xyz/newss.php?id=2
无线财经资讯台,http://120.84.96.53:808/hls/86/index.m3u8 
无线财经资讯台,http://120.84.96.55:808/hls/86/index.m3u8 
无线财经资讯台,http://120.84.96.63:808/hls/86/index.m3u8 
无线财经资讯台,http://120.84.96.71:808/hls/86/index.m3u8 
无线财经资讯台,http://120.84.96.74:808/hls/86/index.m3u8
无线财经资讯台,https://php.52sf.ga/@Curly_MouseIPTV-Potato.php?tid=1&id=19
无线财经资讯台,http://www.penis18.org/stream/7211c4b77b32ac22e11c3460402e442f
无线财经资讯台,https://p2.weizan.cn/1646497941/269664979080385265/live.m3u8

TVB星河,http://171.108.239.16:8181/tsfile/live/1011_1.m3u8
TVB星河,http://113.64.147.203:808/hls/135/index.m3u8
TVB星河,http://jyjxy.7766.org:808/hls/35/index.m3u8
TVB星河,http://gxfrg007.8800.org:8282/tsfile/live/1062_1.m3u8
TVB星河,http://27.47.68.15:808/hls/35/index.m3u8

J2,http://173.211.42.73:8278/j2_twn/playlist.m3u8?tid=ME0E4382171043821710&ct=19237&tsum=6f10351124a4eb90780b2f84b2c4d349
J2,http://www.penis18.org/stream/09a31be0f66832de0de6e4b5c56c310f

明珠台,http://zb.8d8q.com/proxy/gangtai.php?tid=gt&id=13
明珠台,http://120.84.96.55:808/hls/26/index.m3u8?blog.ntnas.top
明珠台,https://php.52sf.ga/@Curly_MouseIPTV-Potato.php?tid=1&id=7
明珠台,http://www.penis18.org/stream/5c5ad77e753cbb8316ba8e169852e43a

TVB功夫,https://cn-hbyc2-dx-live-01.bilivideo.com/live-bvc/545768/live_179302204_68184269.m3u8

有线新闻台,https://pull-l3-cny.douyincdn.com/live/3ce3ba86a40b1b2055eeda4f8cf6517e.m3u8
有线新闻台,http://61.10.2.140:80/live_freedirect/freehd209_h.live/chunklist_w135209556.m3u8
有线新闻台,http://98.142.138.122:1630/zhiboyuandakaTV/cable539854856.m3u8
有线新闻台,http://98.142.138.122:1630/zhiboyuandakaTV/cable559854398.m3u8
有线新闻台,https://php.52sf.ga/@Curly_MouseIPTV-Potato.php?tid=1&id=29
有线新闻台,http://livetv.dnsfor.me:80/channel.5.m3u8
有线新闻台,http://zb.8d8q.com/proxy/gangtai.php?tid=gt&id=24

有线财经新闻台,https://pull-l3-cny.douyincdn.com/live/6cce73798021d977d916afacf1caba36.m3u8
有线财经新闻台,http://98.142.138.122:1631/zhiboyuandakaTV/icable738952.m3u8
有线财经新闻台,http://98.142.138.122:1631/zhiboyuandakaTV/icable53832845.m3u8
有线财经新闻台,https://php.52sf.ga/@Curly_MouseIPTV-Potato.php?tid=1&id=26
有线财经新闻台,https://p2.weizan.cn/1646497941/269664979080385265/live.m3u8

ViuTV,https://cdn.hklive.tv:443/xxxx/99/index.m3u8
ViuTV,http://shazui.8866.org:800/hls/86/index.m3u8
ViuTV,http://radius.8866.org:800/hls/86/index.m3u8
ViuTV,https://cdn.hklive.tv/xxxx/99/index.m3u8
ViuTV,https://cdn.hklive.tv/hls/99/index.m3u8
ViuTV,http://link.sczhgx.com:59845/hls/86/index.m3u8
ViuTV,http://113.78.73.16:762/hls/ch1/s.m3u8
ViuTV,http://1xdezx93.v3n.pkoplink.com:30003/bysid/99
ViuTV,https://cdn.hklive.tv/xxxx/99/index.m3u8
ViuTV,https://php.52sf.ga/@Curly_MouseIPTV-Potato.php?tid=1&id=17
ViuTV,http://zb.8d8q.com/proxy/gangtai.php?tid=gt&id=8

now新闻台,https://pull-l3-cny.douyincdn.com/live/f49db49809a6d8e96047011ee9160bc8.m3u8
now财经台,https://pull-l3-cny.douyincdn.com/live/60b4bda9cef7c62d547a8c2ca1ca9c2c.m3u8
now直播台,https://pull-l3-cny.douyincdn.com/live/fc910419627cee83895e03d74029cbb4.m3u8
有线直播台,https://pull-l3-cny.douyincdn.com/live/1696778d64f00f3f9c0aefe3b2136ffe.m3u8
东森新闻台,https://pull-l3-cny.douyincdn.com/live/37e4951f0608d79a74ebed4ab2da462a.m3u8
中天新闻台,https://pull-l3-cny.douyincdn.com/live/7898d38d54c60879ba96a1fa42edbd53.m3u8
台视新闻台,https://pull-l3-cny.douyincdn.com/live/af25e1a3f0fff1e8ea22c55a0c9352f0.m3u8
民视新闻台,https://pull-l3-cny.douyincdn.com/live/304b8e04a437299311112b7f4902c9dd.m3u8
TVBS新闻台,https://pull-l3-cny.douyincdn.com/live/e6b6ef594c30eb3f3de0fa4ba0ce86e6.m3u8
TVBS亚洲台,https://pull-l3-cny.douyincdn.com/live/9f6ea8b662a55d5fa562ebaeb2880bfc.m3u8
莲花电影台,https://pull-l3-cny.douyincdn.com/live/f3caad21816e3bfe2210a692387ab040.m3u8
中天综合台,https://pull-l3-cny.douyincdn.com/live/5f26752efeee9e0c53cf6b530640ce60.m3u8
Boo驚悚台,https://pull-l3-cny.douyincdn.com/live/6ea2b038f2ce633a65f0450895f6679e.m3u8
民视频道,https://pull-l3-cny.douyincdn.com/live/b2478a833f3e8b439b680048fcbf7786.m3u8
